2450825.3036	-10.7999999999997	9
2451027.6252	69.1999999999986	9
2451119.4771	-71.7999999999996	9
2451152.3729	-40.8000000000008	15
2451174.2902	-31.8000000000005	9
2451177.3375	-20.8000000000013	11
2451417.6331	-6.80000000000192	10
2451418.5748	-1.79999999999936	9
2451438.5667	20.1999999999991	9
2451466.5097	91.2000000000006	9
2451505.4319	21.2000000000003	11
2451506.4449	-12.8000000000021	9
2451507.4146	5.19999999999854	9
2451509.4588	10.1999999999975	10
2451511.4665	-18.8000000000024	9
2451541.2766	-50.8000000000024	12
2451543.2873	-39.7999999999996	12
2451555.3084	-50.8000000000024	10
2451754.6113	-15.8000000000023	13
2451781.6238	-41.8000000000021	8
2451784.6383	-15.8000000000023	11
2451804.5764	-47.8000000000023	10
2451806.586	-60.8000000000004	11
2451835.4996	-38.8000000000019	9
2451852.4737	-22.8000000000002	12
2451853.4725	-18.8000000000024	11
2451882.3615	12.2	10
2451900.3093	56.2000000000005	12
2451906.3263	74.1999999999976	12
2451951.2768	42.1999999999976	10
2451956.2601	31.1999999999983	10
2452158.63	80.1999999999978	9
2452161.5733	55.1999999999993	10
2452193.5808	17.199999999999	8
2452197.5151	-5.80000000000069	9
2452215.3868	-7.79999999999959	9
2452218.408	-15.8000000000023	9
2452534.5654	-0.800000000001688	10
2452560.4491	7.19999999999743	13
2452560.4624	30.2000000000007	13
2452565.5209	28.1999999999982	11
